id,review,label,,
권송송,바스크치즈케이크는 작은편이고 음료도 그냥그랬어요. 40분이나 걸릴정도의 퀄리티는 아닌것 같습니다...^^ 카페내부 히터도 잘 안틀어주셔서 넘 추웠어요. 직접 주문메뉴 가져다주시던데 테이블 헷갈려서 잘못가져다 주시기도 하더라구요. 좌석 특성상 앞을 보게되어서 준비하시는거 보는데 바쁘게 움직이는것 같긴한데 손이 느리신건지 너무 늦게나와요,0,,
이쑤쑤,점원들 졸싸가지없고 커피도 졸맛없음 비추비추 오케스트라는 개뿔 의도를 알수없는 인테리어 니맛도내맛도아닌커피맛 화장실도 밖에있음 휴지도없음 알바가 화장실 안내할때 개짜증냄,0,,
인플루언서 이,"컨셉, 플레이리스트가 훌륭했던 카페였어요! 인테리어가 너무 멋있더라구요 커피 마시며 음악 듣고 있으니 힐링 그자체 였어요♥? 직원분도 짱 친절하시고, 커피맛도 좋았어요:)",1,,
익명5272,음료제조하실때 마스크써주세요ㅠ,0,,
밍디38,라떼 맛있어요 직원분들도 친절해서 좋았습니다 클래식이 많이 나오는줄 알고 방문 했는데 제가 갔을땐 가요가 나오는 날이었는지 가요를 많이 들었네요 좋은 음향으로 음악 들으면서 얘기 나누기 좋은곳 같습니다,1,,
설탕달달,어쩌다보니 비오는 날의 덱스커피만 이용했었는데 공간을 채우는 사운드에 압도 되는 것 같았어요?? 직원분이(사장님이시려나??) 굉장히 친절하셨고 서비스로 드립커피까지 맛 볼 수 있었답니다! 비오는 날 또 즐기러 갈게요~,1,,
sagegreen,"처음 가보고 나서 홀딱 반했던 카페에요. 어쩌다 비 오는 날 저녁에 방문했는데, 원래 비 오는 걸 끔찍이도 싫어하지만 이 카페에선 운치 있게 느껴져서 오히려 즐기게 되더라구요. 친구랑 같이 갔는데 다음엔 근처 갈 일 생기면 혼자서도 종종 방문하고 싶은 카페에요.",1,,
누네띠네냠냠,음악에 진심인 사람들이 너무나도 사랑할 카페 덱스. 오디오 퀄 장난아니고 이 카페만의 철학이 너무 머싯다. 커피도 늠 마싯고…. 또 늦게까지학서 더 좋움.ㅠ 자주갈게용,1,,
부자되기777,커피가 맛이 없어요 분위기는 괜찮아요,0,,
쟝쟝96,정말 분위기 좋아요! 오케스트라홀에 온 것 같은 느낌이 들어요! 인테리어 디테일들이 너무 멋있어요 ㅎㅎ 커피도 맛있어서 좋은 시간 보냈습니다~,1,,
Bgyuhj,단체모임 카페로는 비추..,0,,
연월담차24,레몬파운드가 자꾸 생각나서 다시왔는데 커피랑도 어울리지만 맥주한잔이랑 가볍게해도 좋네요. 그리고 사장님이 친절해요??,1,,
비숑숑비,단발머리 여자분 너무 친절하셨어여♡ 처음 방문 해봤는데 예상했던 분위기랑 달라서 처음에는 조금 당황했지만 새로운 경험이었어요!! 주문할때 메뉴 이름이 개인적으로 조금 헷갈려서 버벅 거렸는데 친절하게 기다려주셔서ㅠㅠ 감동 받아서 담에 또 갈거에요 시그니처 음료 먹었는데 넘 맛있었어여????,1,,
uoupup,"음악 소리가 너무 커서 대화가 불가능해요,, 혼자서 음악듣고 커피마시고 싶을때 좋은곳인거 같아요 근데 커피도 맛없어요 화장실도 밖에있고",0,,
dnjfem05,사장님이 너무 친절하고 드립커피가 맛있어요 롱블랙이나 플랫화이트 등 호주 커피메뉴도 있어서 선택지가 다양하고 좋아요 특히 음악 듣는 것이 좋은 카페에요!,1,,
이이야아,분위기 편해요 좋아요,1,,
박세현40,음료 맛있는데 직원분들이 손님 앞에 있어도 시큰둥 있는둥 마는둥 주문 안받고 자기 할일 하네욤... 원두 찌꺼기 버리는 거 아님 콜드브루 물 받는거... 한참 기다리다가 겨우 주문했어요.. 그것도 주문 받아달라고 이야기했더니 더 기다리라고...,0,,
콘53,결제내역 본 직후에라도 죄송하다고 하셨으면 이런 리뷰 안썼을텐데 ㅋㅋ 영수증 달라고 한 후에야 사과하는 것도 이해 안가고 엎드려 사과받는 느낌이라 정말 기분이 나빴습니다 리뷰 쓴것중에 부정적인 리뷰 처음쓰네요 맛은 다른 리뷰들 보고 기대하고 갔는데 파이는 평범했고 커피는 밍밍했어요 굳이 부산까지 찾아가서 먹을 맛은 아니라고 느꼈습니다 부산여행 기분좋게 가서 여기서 기분만 망치고 가네요 감사합니다,0,,
콘53,8명이서 가서 디저트랑 음료 시키는데 1인 1음료 주문이라길래 알았다고 말하고 자리가서 고르는동안 재촉 3번이나 들었네요ㅋㅋ 귀가 안들릴까봐 배려해주셨나봐요 감사합니다ㅋㅋ 1인 1음료 카페는 많으니까 그럴수도 있지 하고 음료 인원수 맞춰서 추가주문했는데 7잔만 시켰다고 7잔 주더라고요? 아메리카노 위주로 시켰는데 30분만에 음료 나오는것도 신기했는데 ㅋㅋ 8잔 주문했다고 말하니 그냥 한잔 더주겠다고 말하시더라고요? 돈 없을까봐 생각해주셨나봐요 ㅋㅋ 이미 시킨건데? 주문내역 확인하고 8잔 주문한거 확인한 후까지 죄송하단말조차 하나도 없다가 영수증 달라하고 관련해서 따지니까 그제서야 죄송하다고 말이라도 꺼내던데ㅋㅋ 손님이 8잔 주문했다고 하면 가서 영수증 확인하고 오겠다고 말이라도 먼저 해야하는거 아닌가요?,0,,
쩝쩝학박사,여행 마지막날 친구들이랑 방문했는데 그날 사장님이랑 직원들 기분이 많이 안 좋으셨던건지 굉장히 불친절하시고 거지취급 당한 기분이었어요. 재방문할 일은 절대 없을 것 같네요.,0,,
백가람59,커피가 다양하게 많아서 신기하고 아인슈페너 먹은 친구가 정말 맛있다고 난리가 났었어요 ㅋㅎㅋㅎㅋ 재밌고 맛있게 먹고 갑니다 :),1,,
sara559,에그타르트 필링이 부들부들하고 맛있어요!! 에그타르트 보고 가서 음료는 기대 안했는데 커피랑 초코라떼 너무 맛있어요!! 더운 날 지쳐서 온건데 먹자마자 바로 당충전 되는 맛!! 재방문 의사 있습니다.,1,,
Loveyourseeeelf,3400원은 진짜 아닌 거 같아요 ㅎㅎ 추천받아서 다녀왔는데… 허허… 친절하고 분위기 좋긴 했는데… 3400… 2400원이면 맛있다고 느꼈을 수도 있겠어요.. 포르투갈이 가고 싶어지네요 ㅎㅎ 광안이랑 가까워 좋아요,0,,
asdf586,매장 넓긴한데 사람이 너무많아서 정신없었음..,0,,
Ella1647,쏘쏘 추천받아서 기대하고 갔는데 큰 특색은 없어요 재방문할 맛은 아닌..,0,,
Southbank,다 맛있어요. 신메뉴도 또 대박이네요!!! 체리 어떻게 씨를 빼셨는지 완전 먹기 편하게 깔끔히 손질해 놓으셨어요. 잘 먹었습니다^^,1,,
두근12,인생타르트맛집 계란 특유의 비린내 일절없고 파이비밑에 바닐라빈이 깔려있을 정도로 필링이 장난없음 신메뉴로 나온 펌킨바라기는 단호박 필링이 꾸덕한게 한 입에 다 안 먹어질정도로 크다. 시그니처 백차도 달달한 디저트랑 잘 어울림 여긴 광안리 갈 때마다 주기적으로 방문할 듯!,1,,
ASELL,에그타르트 원래는 별로안좋아하는데 여기 에타는 진짜... 먹자마자 헉 존맛이다 했어요! 음료받자마자 다 쏟아버렷는데 사장님 진짜 인상 한번 안찌푸리시고 다 치워주시고 음료도 다시만들어주셨어요... 진짜 친절하고 맛있고 분위기 잇고... 너무 만족스러운 곳이에요 사都 감사해요ㅠ,1,,
kje****,"우유도넛 생각보다 맛이 없네요, 맛보다는 비주얼로 승부보는듯. 물도 사먹어야해요. 직원들도 불친절하게 건성건성하게 응대하시더라고요..",0,,
제이0613,빵 맛있고 좋아요 나름 근데 직원이 별로…나머지분들은 어떤지 모르겠는데 주문받는 여자직원분(참고로 저도 여자입니다 혹여나 논란만든다 생각하실까봐) 설명도 제대로 못하고 말도 이해못하게 해줘서 덕분에 여기갔다저기갔다 쇼했어요^^,0,,
얘는,디저트 맛나요 커피는 대기가 너무 길어 취소해 맛은 모르겠고 향은 좋았어요 카페가 무지 큰데 주말 자리 착석 힘들어요 사람 너무 많고 정신없어서 멋진 오션뷰와 맛난 음료는 제대로 못즐김니다 주말과 휴일을 피해가면 좋을듯해요,0,,
상상해보자63,"빵포장하는 남자직원은 빵포장비닐에 빵에 있는 크림 반은 다 묻히고 성의가 없고, 음료계산 남자직원은 묻는 말에 신경질내는 이상한 행위를 하고 직원들이 간이 배밖에나오는 불친절한 행위를 함. 사람도 많고 직원들 관리가 제대로 안되니 배가 부른듯 불친절함. 이런 불친절함은 까페서 처음 느끼는듯. 커피값 비싸고 양도작고 ,뷰도 항구기계보이는 이상한 뷰! 그래도이건 그나마 참을수 있겠는데 툴툴거리며 대강대강 신경질 내는 직원들은 불친절의 끝판! 비싼돈주고 이런대접 받으러왔나싶어서 심히 불쾌함! 음료계산하는 남자직원은 어디서 놀다온 사람이 알바했나 건들건들, 빵포장하는 남자직원 입튀어나와서 이쁜 빵 골라났더니 거지같이 비닐에 다 묻히고 기분이 개판됨. 이쁜빵 찌그러지게 포장하기.뭉게",0,,
0파아란0,"음료파는 남자직원 상당히 불친절해서 기분이 불쾌해짐. 직원들이 불친절하고 교육을 받질않은듯 함. 물어보는 말에 화내는 직원도 있고 , 자기멋대로 손님신경안쓰고 툴툴 거리는 직원도 있고 뭐이딴 까페가 있나싶음. 커피값아메리카노 6천원등 비싼데 양도 작고 그닥 맛도 특별하지않음. 뷰는 좋을듯 했으나 기장바다뷰가낫지 무슨 조선소 뷰? 비싼가격에 불친절한 직원에 불쾌하고 돈버리는 느낌의 까페였음. 음료계산 직원은 손님에게 상당히 불친절 ? 어디서 길거리서 놀다온 깡패놈이 알바하나싶었다. 비싸도 직원교육좀 똑바로했음 기분이 안나쁘지.",0,,
maple770,빵도 맛있었고 카페 라운지도 크고 깨끗했으며 더 좋았던 것은 바다가 보이는 경치를 볼수있어 좋았습니다~^^,1,,
부피,"딸복이 羔 맛있죠?? 복숭아맛이 잘 느껴져 넘모 취향저격,,?? 흑임자 크림라떼 겁나 꼬수워서 할매입맛에 적격이었음?? 베이커리 종류도 다양한데 맛까지 있어 또 가서 1디저트는 무조건 주문할 거예욤?? 직원분들도 굉장히 친절쓰???? ????장점 1??매장 앞 5대 주차 가능, 만원 이상 구매 시 맞은편 동아주차장 1시간 지원?? 2??과일청과 베이커리 및 디저트 모두 수제로 직접 만듬?? 3??1층 테라스 애견동반 가능?? 4??넓은 규모와 좌석으로 죽치고 앉아 편히 쉬다가 가기 제격?? 5??곳곳에 거셀존이자 포토존이 많아 포토존 맛집??",1,,
hui****,빵이랑 디저트가 엄청많아요 카페규모도 엄청큰거같아요 뷰도예쁘고~~,1,,
bor****,가본중에 웨이팅이 가장 긴 곳. 빵 구입후 한시간 가량 음료 기다림.ㅎ 뜨거운 커피가 그리운날인데 미지근한 라떼~^,0,,
리나강,"매장이 워낙 크고 테이블도 너무너무 많다, 손님이 쓴 테이블을 직원이 치울 겨를도 없이 다른 손님이 자리를 얼른 잡아야 할 정도로 사람들 주말에 많았다, 오히려 가을 날씨에 밖이 시원할 정도로 에어컨을 틀어도 시원하지 모를 만큼 매장이 진짜 넓다. 시끄럽고 사람 많은거 싫어하고 줄 스는거 싫어하면 가면 안됨, 주문시 줄이 길다.",0,,
홍아6859,밖에서 보고 건물외관이 독특하고 주차가 편해서 일단 들어와봤는데 베이커리들이 너무 맛나게 생겨서 하나 챙겨서 아이스 아메리카노와 함께 먹었는데 이집 커피가 정말 예술이 네요!! 별생각없이 집어든 토마토햄페스추리는 진짜 별미에요!!! 꼭 드셔보세요! 알바추천은 배신을 하지 芙六 ㅎㅎㅎ 한적한 날에 조용하게 편안하게 즐길 수 있는 좋은곳 알ト太 넘넘 좋네용!! 지주 애용할듯 싶어요!!,1,,
권호랑a,루프탑 있고 매장 넓어서 쾌적해요. 주차 지원되는거 너무 좋네요. 카공하는 분들 추천드려요.,1,,
쥬블리야,"디자트, 음료 가격이 비싸네요",0,,
말즈럽,"빵이 가격은 엄청 비싼데 맛은 없고, 상하목장 우유쉐이크를 시켰는데 토핑 마냥 위에 먼지가 가득 박혀 있어서 바꿔달라 했어요..그냥 한두개 올라간거면 저희 옷때문인가 하겠는데 진짜 가득 올라가져있고 쉐이크에 박혀 있더라고요. 그리고 빵에 똥파리가 올라가져있길래 말씀 드렸더니 파리 앉은 부분만 떼어내시더라고요...",0,,
aaaaaaa66,카페 내부가 깔끔하고 음료 종류도 다양하고 맛도괜찮았어요 ㅎㅎ 경성대부경대역 근처에 대형 카페가 생겨서 좋네요 >_<,1,,
goinlove1218,우선 외관도 분위기가 있더니 실내도 아늑하고 복잡하지않아 편히 이야기나누고 왔습니다 친절하시네요,1,,
SOY1010,음료 받으러 가서 포크 접시 문의했던 통통한 남자 직원.. 정말 불친절한 눈빛으로 귀찮은듯 대답하더라고요. 친절과 대우를 바라지도 않아요 주업무는 아니어도 고객응대를 해야하는 직업인 사람에게 무시와 귀찮음을 느끼니 다시는 여기에 오고 싶다는 생각이 안들었어요~~,0,,
